'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8','ECG'
'[18:53:30.063 08/07/2079]',-17.973,39.463,-3.126,4.298,17.973,-18.364,4.689,17.192,17.973,14.847,2.344,-10.549,9.377,-16.410,31.258,1.563,17.973,0.781,3.907,12.894,-15.238,-21.099,31.258,-47.668
'[18:53:30.066 08/07/2079]',-21.099,37.118,-6.252,10.940,21.099,-12.112,-2.344,14.457,17.192,16.020,2.344,-2.344,3.516,-1.563,26.960,5.079,15.629,1.172,7.033,5.470,-8.596,-7.814,26.960,-49.621
'[18:53:30.070 08/07/2079]',-23.053,42.589,-10.159,6.642,19.536,-16.801,3.516,8.987,18.755,20.708,-1.172,-4.689,10.159,7.424,10.940,4.298,11.722,0.781,10.940,-5.079,7.814,-3.126,10.940,-51.575
'[18:53:30.074 08/07/2079]',-34.774,30.867,1.172,7.033,8.987,-21.099,-1.563,18.364,14.066,19.927,-5.470,-3.907,7.424,-4.689,15.238,5.470,11.331,-1.563,-0.391,10.940,7.033,-10.940,15.238,-49.231
'[18:53:30.078 08/07/2079]',-37.118,32.430,-16.801,11.331,3.907,-25.397,-7.424,19.145,12.503,21.099,-10.159,-6.642,9.768,-4.689,10.549,0.391,10.159,-2.344,17.582,4.689,10.159,-10.549,10.549,-46.105
'[18:53:30.082 08/07/2079]',-35.556,30.476,-18.364,2.735,0.000,-26.569,-6.642,12.503,11.722,24.225,-14.457,-13.675,12.503,-14.457,16.410,-7.424,8.596,-5.861,19.145,5.079,13.284,-21.880,16.410,-42.198
'[18:53:30.086 08/07/2079]',-28.132,29.695,-19.927,-2.344,-1.563,-23.053,-7.424,11.331,10.940,22.271,-9.377,-14.847,9.377,-10.549,15.629,-5.470,8.596,-8.596,20.708,12.894,-6.252,-15.238,15.629,-38.291
'[18:53:30.090 08/07/2079]',-21.490,33.211,-25.788,-5.470,1.172,-20.708,-11.722,10.940,7.033,20.317,-8.596,-10.549,7.814,-23.443,27.741,-4.298,9.377,-7.424,26.569,7.814,-8.987,-26.178,27.741,-35.165
'[18:53:30.094 08/07/2079]',-16.410,33.211,-21.490,-8.596,8.596,-22.662,-8.987,8.596,8.205,18.364,-15.629,-9.768,5.861,-24.225,19.927,-0.781,7.424,-8.596,22.271,-5.079,1.954,-25.006,19.927,-31.258
'[18:53:30.098 08/07/2079]',-18.364,40.244,-30.867,-7.424,6.252,-26.569,-9.768,12.503,4.298,10.549,-17.973,-6.642,4.298,-17.582,3.126,0.391,3.907,-13.284,31.648,-4.298,0.000,-16.410,3.126,-30.085
'[18:53:30.102 08/07/2079]',-12.503,26.178,-26.178,-2.344,7.814,-28.523,-12.112,16.801,1.563,2.735,-18.364,-0.391,5.079,-24.225,1.954,1.563,2.344,-14.457,26.960,8.205,-3.907,-18.364,1.954,-26.569
'[18:53:30.105 08/07/2079]',-7.033,12.503,-20.317,-3.126,8.987,-30.476,-8.596,11.722,0.391,-1.954,-20.708,0.000,5.079,-8.987,-17.192,-1.172,0.391,-14.457,21.099,15.238,-1.563,-3.516,-17.192,-25.006
'[18:53:30.109 08/07/2079]',-3.907,15.238,-26.569,-6.252,7.033,-28.523,-8.987,7.814,1.563,-1.954,-17.973,-1.563,9.768,-17.973,-4.298,-7.814,0.391,-16.410,27.350,15.629,-0.781,-16.410,-4.298,-26.569
'[18:53:30.113 08/07/2079]',-3.907,21.490,-32.039,-11.331,3.516,-30.476,-7.814,8.596,1.172,-1.954,-16.801,3.126,8.987,-25.397,4.689,-3.126,0.391,-17.582,32.821,17.582,-10.549,-24.225,4.689,-26.178
'[18:53:30.117 08/07/2079]',8.596,15.629,-26.569,-19.927,11.722,-15.629,-14.457,-3.516,8.596,2.735,-15.238,2.735,13.675,-14.847,1.563,-1.563,6.642,-10.940,27.350,19.536,-11.331,-24.615,1.563,-30.085
'[18:53:30.121 08/07/2079]',11.722,25.788,-41.807,0.781,15.238,-11.331,-23.443,14.847,7.814,-0.391,-16.410,7.033,11.722,-14.847,-2.735,3.516,5.079,-9.377,42.589,-5.470,-2.344,-24.225,-2.735,-28.523
'[18:53:30.125 08/07/2079]',1.172,22.662,-39.072,-5.470,3.126,-15.629,-24.615,16.020,0.391,-10.549,-17.973,7.814,6.642,-21.099,-6.642,0.391,0.000,-11.331,39.853,3.516,0.781,-32.821,-6.642,-31.258
'[18:53:30.129 08/07/2079]',-5.470,6.642,-19.536,-4.298,-2.344,-14.066,-27.741,21.099,-8.205,-16.801,-13.675,16.801,1.954,-15.238,-13.675,3.907,-1.563,-8.205,20.317,21.099,-1.563,-17.582,-13.675,-26.960
'[18:53:30.133 08/07/2079]',-10.940,0.391,-7.424,-3.907,-4.689,-15.238,-20.317,18.364,-13.284,-20.708,-9.377,11.722,-1.954,-13.675,-14.066,-1.172,-2.735,-5.861,8.205,17.582,7.033,-12.112,-14.066,-23.443
'[18:53:30.137 08/07/2079]',-10.940,-8.205,-11.331,-5.470,-10.549,-16.020,-14.847,5.470,-18.364,-18.364,-9.377,6.252,-6.252,-50.012,16.801,0.000,-5.470,-7.424,12.112,18.364,7.033,-43.761,16.801,-15.238
'[18:53:30.141 08/07/2079]',-5.470,-3.126,-10.940,-10.940,-4.689,-10.549,-15.238,0.391,-8.596,-7.424,-7.033,5.861,-9.377,-21.099,6.642,5.861,3.126,-5.861,11.722,19.927,-11.722,-23.443,6.642,-10.549
'[18:53:30.145 08/07/2079]',8.596,9.768,-1.954,-4.298,14.066,-1.172,-8.596,7.424,7.814,4.689,-0.391,4.689,-4.689,-5.079,14.457,12.112,16.020,1.563,2.735,5.861,-21.490,-12.894,14.457,-9.377
'[18:53:30.148 08/07/2079]',13.284,15.629,-25.397,-1.954,11.722,-4.298,-7.814,1.563,3.907,4.689,-0.781,1.172,-8.596,-3.126,17.192,4.298,12.894,0.391,26.178,1.954,-24.225,-20.708,17.192,-12.112
'[18:53:30.152 08/07/2079]',11.722,14.457,-7.033,-12.112,7.814,-1.172,-0.391,0.000,2.344,7.814,0.391,0.000,-7.033,11.722,2.344,3.126,15.238,-0.781,7.814,10.159,-25.397,-6.252,2.344,-16.801
'[18:53:30.156 08/07/2079]',12.112,10.940,1.954,-5.861,12.112,-0.391,0.781,5.470,1.954,7.033,2.344,-0.781,-4.689,19.145,-3.516,0.391,17.973,1.563,-1.172,5.861,-20.708,12.894,-3.516,-12.894
'[18:53:30.160 08/07/2079]',7.814,-4.298,1.172,-3.907,9.377,-1.172,-3.516,-3.907,-1.563,6.642,0.000,-4.689,-8.205,-2.344,6.642,3.126,16.801,0.000,-0.391,10.940,-18.364,0.391,6.642,1.563
'[18:53:30.164 08/07/2079]',2.344,-3.516,10.159,-7.814,6.252,2.735,-4.689,-3.126,3.516,11.722,-2.344,-8.596,-5.861,-14.847,17.582,8.205,20.708,-2.735,-9.377,15.238,-20.317,-11.331,17.582,29.304
'[18:53:30.168 08/07/2079]',7.033,0.781,0.000,2.344,11.331,0.391,-5.861,4.298,6.642,11.722,0.000,-3.126,-7.033,-8.205,15.238,15.629,25.006,0.391,0.781,12.894,-23.834,-7.424,15.238,67.595
'[18:53:30.172 08/07/2079]',12.503,1.954,-5.079,-1.954,15.238,-4.689,-0.391,-3.126,8.987,16.020,2.344,-7.033,-8.987,-0.391,26.178,4.298,24.615,5.079,5.861,4.298,-25.397,-1.563,26.178,91.429
'[18:53:30.176 08/07/2079]',5.861,17.973,-13.675,-7.033,10.940,-7.424,4.689,-4.689,4.298,15.238,0.391,-7.424,-12.894,3.907,20.708,0.781,21.880,0.391,14.457,0.000,-20.708,-1.563,20.708,98.462
'[18:53:30.180 08/07/2079]',6.252,24.225,-24.225,-7.814,5.861,-17.192,4.689,4.689,-2.344,11.331,0.391,-2.735,-16.801,14.457,5.079,3.126,17.973,-1.172,25.006,-5.470,-14.066,-0.391,5.079,84.396
'[18:53:30.184 08/07/2079]',14.847,-1.172,-4.689,-14.457,13.675,-6.642,-1.954,-10.940,4.298,14.066,2.344,-10.159,-9.377,19.145,5.079,-2.344,17.582,0.391,5.470,8.205,-4.298,2.344,5.079,61.734
'[18:53:30.188 08/07/2079]',15.238,-1.954,-8.596,-7.424,16.020,4.298,-13.675,-8.596,3.126,13.284,-2.735,-2.735,-9.768,2.735,10.940,7.033,13.284,-2.344,9.377,-1.563,-0.391,-6.252,10.940,39.072
'[18:53:30.191 08/07/2079]',12.112,-8.596,-14.066,-5.079,11.722,0.000,-23.053,-3.126,3.907,10.549,-4.689,-3.126,-8.205,2.344,6.642,5.470,10.159,-8.205,14.847,13.284,-4.689,-10.159,6.642,22.271
'[18:53:30.195 08/07/2079]',13.675,-5.079,-10.549,-28.132,13.675,-0.391,-26.178,-16.801,4.298,5.470,-5.861,-4.689,-10.940,4.298,4.689,0.781,7.033,-9.768,11.331,11.722,-23.053,3.126,4.689,7.424
'[18:53:30.199 08/07/2079]',7.033,14.847,-29.695,-16.410,10.549,-5.861,-20.317,-8.987,0.000,0.781,-10.549,-3.516,-16.801,-8.987,8.987,2.735,1.563,-12.112,30.476,-10.549,-29.304,2.344,8.987,-2.735
'[18:53:30.203 08/07/2079]',11.722,19.536,-42.589,-18.364,10.159,-12.503,-15.629,-12.112,-3.126,-3.907,-11.331,-5.861,-21.880,5.470,-16.020,5.470,-2.344,-16.801,43.370,-14.847,-32.039,11.331,-16.020,-16.020
'[18:53:30.207 08/07/2079]',19.145,18.364,-35.946,-19.536,12.112,-14.457,-13.284,-2.344,0.000,-3.516,-12.112,-5.079,-18.755,-6.252,-7.424,10.549,-2.735,-14.457,36.728,-16.410,-28.132,-6.642,-7.424,-25.006
'[18:53:30.211 08/07/2079]',15.238,26.960,-35.165,-15.238,14.847,-8.596,-14.457,-1.172,4.298,-2.344,-9.768,-0.781,-15.629,-5.470,7.033,4.689,-1.172,-9.768,35.946,-29.695,-22.271,0.391,7.033,-37.509
'[18:53:30.215 08/07/2079]',14.457,1.563,-22.271,-8.596,13.675,-3.126,-23.834,-1.954,3.907,-3.516,-8.205,6.642,-16.020,20.317,-10.940,5.470,-3.126,-11.722,23.053,-1.172,-21.099,19.145,-10.940,-46.886
'[18:53:30.219 08/07/2079]',16.801,-5.079,4.298,-16.801,12.503,1.563,-19.536,3.516,8.596,-4.298,-3.126,11.331,-11.331,-3.516,12.503,15.238,-1.172,-10.549,-3.516,13.284,-35.946,-2.344,12.503,-53.919
'[18:53:30.223 08/07/2079]',16.801,-9.768,5.079,-8.987,14.066,3.516,-19.536,3.126,5.470,-4.298,-5.470,14.847,-17.973,-9.377,17.582,20.317,-1.563,-8.205,-4.298,5.079,-43.370,5.079,17.582,-55.873
'[18:53:30.227 08/07/2079]',8.987,-10.549,-5.470,-9.377,9.377,-1.563,-19.536,-6.642,1.954,-9.377,-6.252,5.470,-21.490,-12.894,4.298,21.099,-5.470,-12.503,6.252,0.000,-26.960,-3.126,4.298,-58.217
'[18:53:30.230 08/07/2079]',9.377,7.814,-13.675,-10.159,8.596,-3.516,-7.033,-5.079,6.252,-4.689,-5.470,-2.344,-15.238,-44.542,26.960,24.615,-3.126,-10.549,14.457,-12.112,-21.099,-39.853,26.960,-56.654
'[18:53:30.234 08/07/2079]',13.675,-7.424,-10.940,-7.033,10.549,1.954,-12.112,-13.675,7.424,-4.298,-4.689,-8.987,-12.503,-42.979,28.132,15.629,-1.954,-3.907,11.722,-4.689,-10.940,-39.463,28.132,-52.747
'[18:53:30.238 08/07/2079]',7.424,-25.397,-13.284,5.079,7.033,7.814,-23.834,-17.582,3.516,-5.861,-7.033,-9.768,-16.801,-30.867,19.927,5.861,-1.563,-4.689,14.066,0.391,0.781,-24.225,19.927,-51.966
'[18:53:30.242 08/07/2079]',4.298,-19.145,-3.516,-2.344,3.126,11.331,-16.020,-19.145,6.642,-1.172,-7.424,-10.940,-12.112,-12.894,8.987,2.344,-0.391,-6.252,4.298,6.252,-7.814,-7.033,8.987,-53.138
'[18:53:30.246 08/07/2079]',11.722,-17.192,5.470,-9.377,3.907,16.020,-18.755,-10.549,6.642,-1.954,-6.642,-6.252,-12.112,-5.470,-1.954,10.549,0.391,-7.814,-4.689,10.940,-29.695,2.344,-1.954,-61.343
'[18:53:30.250 08/07/2079]',7.814,-15.238,2.735,-8.596,1.563,13.284,-13.675,-14.457,0.781,-2.735,-8.987,-5.861,-21.099,4.298,-17.582,15.238,-1.172,-8.987,-1.954,0.391,-31.648,19.145,-17.582,-67.204
'[18:53:30.254 08/07/2079]',11.331,5.470,-4.298,-14.066,3.126,14.847,-2.735,-17.192,0.781,-2.735,-7.033,-8.205,-22.662,-12.894,-10.940,28.523,-1.172,-9.377,5.079,-16.410,-47.668,5.079,-10.940,-68.376
'[18:53:30.258 08/07/2079]',9.768,7.424,-6.642,-14.457,0.000,16.020,-10.549,-10.159,1.563,-0.391,-5.861,-12.112,-22.662,-25.397,12.894,16.801,1.563,-10.940,7.424,-12.894,-41.026,-14.847,12.894,-59.780
'[18:53:30.262 08/07/2079]',7.033,-1.954,-8.205,-9.377,-1.172,12.894,-16.410,-8.987,2.344,0.391,-8.596,-3.126,-22.271,-22.662,16.801,17.582,5.470,-10.549,8.987,-8.205,-32.821,-13.675,16.801,-50.794
'[18:53:30.266 08/07/2079]',3.126,-0.781,-10.549,-5.470,-0.391,4.298,-7.814,-10.549,4.689,1.954,-9.768,-2.735,-18.364,-25.788,24.225,12.894,8.205,-12.894,11.331,-9.768,-27.741,-14.457,24.225,-52.747
'[18:53:30.270 08/07/2079]',12.503,-8.205,-11.722,-6.642,1.172,0.781,-6.642,-10.940,7.033,5.079,-7.424,-5.079,-14.847,-21.099,25.006,8.987,8.205,-17.192,12.503,-1.172,-25.006,-22.271,25.006,-61.343
'[18:53:30.273 08/07/2079]',12.503,-10.159,-12.503,-4.689,1.563,-5.470,-7.814,-3.907,5.079,1.172,-10.159,0.000,-14.457,-5.470,5.079,9.768,7.424,-17.192,13.284,-2.344,-21.490,-6.642,5.079,-53.919
'[18:53:30.277 08/07/2079]',10.159,-6.252,-15.629,-3.907,0.391,-16.410,1.563,-2.344,1.954,-2.344,-10.549,-1.954,-17.192,-8.596,5.861,7.033,3.126,-17.192,16.410,-17.192,-25.006,5.079,5.861,1.954
'[18:53:30.281 08/07/2079]',7.424,-8.596,-18.364,-4.689,-1.954,-4.298,-14.066,-3.516,3.126,-1.954,-14.066,-1.954,-15.629,-7.424,3.126,4.298,0.391,-21.099,19.145,-3.126,-21.490,-0.391,3.126,120.733
'[18:53:30.285 08/07/2079]',6.642,-14.457,-21.099,-1.954,-6.642,-5.079,-23.053,3.126,3.126,-3.126,-19.145,4.298,-13.675,6.252,-8.596,0.781,-1.172,-22.662,21.880,0.781,-16.410,14.066,-8.596,272.332
'[18:53:30.289 08/07/2079]',4.689,-28.523,-23.053,0.000,-8.205,-9.768,-23.443,-5.861,-0.781,-7.033,-21.880,6.252,-17.973,-12.503,1.563,5.079,-5.470,-21.490,23.834,3.126,-5.079,-0.781,1.563,386.422
'[18:53:30.293 08/07/2079]',-2.735,-37.900,-22.662,-6.642,-11.722,-14.847,-25.397,-17.192,-1.954,-6.252,-25.397,-1.563,-21.490,-16.801,2.735,-1.563,-10.549,-25.788,23.443,15.238,-1.563,-8.205,2.735,410.256
'[18:53:30.297 08/07/2079]',-5.861,-34.774,-23.053,-16.410,-16.020,-16.020,-28.132,-20.317,-2.735,-5.861,-25.006,-6.642,-19.145,-3.907,-12.112,-7.033,-10.940,-25.788,23.834,19.927,4.689,-8.987,-12.112,334.066
'[18:53:30.301 08/07/2079]',0.391,-35.946,-34.383,-16.410,-16.020,-19.927,-27.741,-21.880,-5.861,-12.112,-25.006,-11.722,-17.192,-18.364,-10.940,-8.596,-14.847,-22.271,35.165,13.284,5.079,-21.099,-10.940,196.923
'[18:53:30.305 08/07/2079]',5.470,-36.337,-41.807,-14.066,-13.284,-21.099,-24.615,-26.960,-5.861,-8.987,-29.695,-19.927,-16.410,-3.907,-32.039,-13.284,-17.973,-23.053,42.589,8.205,1.954,-1.954,-32.039,61.343
'[18:53:30.309 08/07/2079]',-1.954,-17.192,-53.529,-19.927,-17.973,-21.880,-24.615,-27.741,-6.252,-9.768,-32.821,-17.582,-14.847,-13.284,-29.304,-9.768,-19.536,-26.569,54.310,3.126,8.205,-21.099,-29.304,-32.430
'[18:53:30.313 08/07/2079]',-2.735,7.424,-78.535,-18.364,-19.927,-20.708,-27.741,-23.053,-7.033,-11.331,-37.118,-16.410,-16.020,-17.973,-32.430,-7.033,-23.053,-27.741,79.316,-13.675,-3.126,-19.536,-32.430,-103.150
'[18:53:30.316 08/07/2079]',0.781,-16.801,-55.482,-17.582,-16.020,-19.927,-21.880,-32.039,-12.503,-11.331,-30.085,-11.722,-25.397,-26.178,-12.894,-2.735,-25.397,-23.053,56.264,0.391,-10.549,-20.317,-12.894,-156.679
'[18:53:30.320 08/07/2079]',-1.172,-21.880,-37.509,-26.960,-16.020,-16.020,-14.847,-40.635,-12.503,-10.549,-25.397,-10.159,-26.960,-21.099,-14.457,2.344,-25.788,-21.880,38.291,5.470,-15.629,-14.847,-14.457,-227.009
'[18:53:30.324 08/07/2079]',6.252,-20.708,-16.410,-20.708,-14.066,-7.424,-17.973,-11.331,-10.940,-7.814,-17.973,-4.689,-27.350,-10.940,-10.940,6.252,-21.099,-15.629,17.192,7.814,-31.648,-3.516,-10.940,-299.683
'[18:53:30.328 08/07/2079]',10.159,-41.026,0.000,-15.238,-12.112,-8.987,-19.145,-6.252,-7.814,-9.377,-19.145,1.563,-22.271,-19.927,-7.814,14.066,-19.145,-12.894,0.781,18.364,-20.708,-10.549,-7.814,-371.966
'[18:53:30.332 08/07/2079]',5.470,-37.509,-0.391,-8.596,-10.549,-11.722,-7.814,-10.940,-6.642,-4.298,-18.364,-2.344,-18.755,-14.847,-12.894,12.894,-17.973,-11.331,1.172,8.596,3.126,-8.596,-12.894,-391.893
'[18:53:30.336 08/07/2079]',5.861,-18.364,-10.159,-4.298,-10.159,8.596,-19.145,-6.252,-3.126,-2.735,-15.629,-0.781,-12.503,10.549,-31.258,7.424,-14.847,-10.940,10.940,-0.781,7.424,13.284,-31.258,-343.053
'[18:53:30.340 08/07/2079]',1.563,-23.443,-6.642,1.172,-11.722,7.424,-14.847,-8.205,-3.516,-3.516,-10.940,6.252,-10.159,-19.145,13.675,1.954,-14.457,-3.907,7.424,5.470,8.596,-12.894,13.675,-244.200
'[18:53:30.344 08/07/2079]',1.954,-20.317,-8.987,-0.781,-9.768,7.814,-8.205,-17.582,-1.563,0.000,-5.470,6.252,-8.205,2.735,12.503,-9.768,-12.112,1.172,9.768,3.126,1.172,15.238,12.503,-141.441
'[18:53:30.348 08/07/2079]',1.172,-9.377,23.443,-14.066,-13.675,17.973,0.391,-5.079,-0.781,2.344,0.000,9.768,-7.033,-7.814,25.006,1.172,-9.768,7.424,-22.662,7.424,-10.940,-1.172,25.006,-57.045
'[18:53:30.352 08/07/2079]',10.940,-19.145,16.410,-2.735,-15.238,13.675,2.344,4.298,3.907,4.689,-1.954,11.722,1.954,-6.642,15.238,6.642,-7.424,9.377,-15.629,12.503,-12.112,-3.126,15.238,-9.377
'[18:53:30.355 08/07/2079]',12.503,-20.708,9.377,-4.298,-12.112,10.940,2.735,-4.689,2.735,3.907,-1.563,5.861,1.954,-5.079,10.549,2.344,-5.079,8.987,-8.596,1.563,-1.563,0.391,10.549,11.331
'[18:53:30.359 08/07/2079]',5.861,-13.284,7.424,-13.675,-13.284,12.894,0.391,-13.284,1.172,1.954,0.000,0.391,-5.079,12.112,-7.033,3.516,-5.079,1.563,-6.642,-5.470,-2.735,19.927,-7.033,19.927
'[18:53:30.363 08/07/2079]',-0.781,0.781,-22.662,-7.033,-16.020,10.549,-10.549,-12.503,1.172,0.000,-0.391,3.126,-5.470,24.225,-10.549,-3.907,-0.781,-5.079,23.443,-13.284,-5.861,28.523,-10.549,25.397
'[18:53:30.367 08/07/2079]',3.516,-20.317,-15.629,-7.814,-8.205,1.563,-10.549,-22.271,0.781,-0.391,-2.344,1.172,-7.814,-3.126,12.112,-2.344,2.735,-7.424,16.410,-1.172,-6.252,3.516,12.112,28.132
'[18:53:30.371 08/07/2079]',5.079,-26.178,-3.516,-5.861,-2.735,0.391,-5.861,-21.099,0.391,-3.907,-1.563,-0.391,-10.159,-8.596,8.205,3.516,4.298,-10.159,4.298,-3.126,-7.814,5.079,8.205,29.695
'[18:53:30.375 08/07/2079]',1.954,-23.443,-5.861,-3.907,-5.470,-4.298,-6.252,-12.894,3.907,-6.642,-1.172,-0.781,-5.861,-5.861,5.470,0.391,5.079,-13.675,6.642,1.172,-5.470,1.172,5.470,39.463
'[18:53:30.379 08/07/2079]',0.391,-25.006,-4.689,-5.861,-5.079,-12.112,-3.126,-13.675,6.252,-10.940,0.781,-2.735,1.563,-3.907,-6.252,0.781,5.079,-13.675,5.470,8.987,10.940,-5.079,-6.252,62.906
'[18:53:30.383 08/07/2079]',1.954,-26.569,3.126,-12.503,-3.907,6.252,-12.894,-21.490,3.516,-10.940,4.298,-5.470,-4.298,8.596,-11.331,-1.954,3.516,-12.503,-2.344,14.847,-5.861,12.894,-11.331,91.038
'[18:53:30.387 08/07/2079]',2.735,-10.549,-12.894,-16.020,-7.814,8.596,-12.503,-25.006,0.781,-8.987,2.735,-7.424,-7.424,29.695,-26.178,-8.987,-0.391,-14.457,13.675,-3.907,-1.172,28.913,-26.178,114.872
'[18:53:30.391 08/07/2079]',5.861,-10.159,-19.927,-13.284,-10.159,8.205,-17.582,-16.801,0.781,-1.954,-5.470,-0.391,-8.205,-8.205,3.907,3.516,0.781,-13.675,20.708,4.298,-12.503,-15.238,3.907,119.560
'[18:53:30.395 08/07/2079]',5.470,-14.066,-16.020,-10.940,-9.377,5.079,-15.629,-14.847,0.391,0.391,-8.596,0.391,-7.814,-22.271,16.020,5.470,1.563,-11.331,16.801,2.735,-14.847,-21.099,16.020,108.230
'[18:53:30.398 08/07/2079]',0.391,-8.205,-17.973,-12.112,-16.020,-1.172,-5.470,-12.894,-2.344,-1.563,-7.814,-0.391,-7.814,-25.006,20.708,-1.172,-3.126,-10.159,18.755,-12.503,-3.907,-19.927,20.708,95.336
'[18:53:30.402 08/07/2079]',-1.563,-23.053,-12.894,-1.563,-23.053,-0.781,-5.861,-7.814,-2.735,-3.907,-5.470,16.801,-4.689,-34.383,30.085,11.331,-2.344,-7.814,13.675,6.252,-1.563,-32.430,30.085,94.554
'[18:53:30.406 08/07/2079]',1.563,-27.741,-10.549,-1.172,-23.834,2.344,-5.861,-10.159,-5.079,-6.642,0.391,13.675,-3.907,-14.847,12.894,6.252,-2.344,-3.516,11.331,5.079,-1.954,-9.768,12.894,105.495
'[18:53:30.410 08/07/2079]',-1.954,-23.053,-6.252,-1.563,-26.960,0.391,1.563,-8.596,-7.814,-6.642,0.781,19.536,-3.907,1.563,3.126,3.907,-4.298,-0.781,7.033,0.391,0.781,7.814,3.126,117.607
'[18:53:30.414 08/07/2079]',2.344,-5.470,-17.582,-8.596,-26.960,6.252,1.563,-8.987,-2.344,-2.344,0.000,22.662,2.735,7.424,1.954,3.126,-5.079,0.781,18.364,-7.033,3.126,4.298,1.954,123.077
