'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8','ECG'
'[00:04:47.145 12/07/2079]',-18.755,14.847,10.549,10.940,-10.549,6.642,3.907,17.582,-0.391,1.172,2.735,22.271,-15.629,9.768,10.940,19.927,1.954,2.344,-9.768,-6.642,-31.648,16.801,10.940,131.673
'[00:04:47.148 12/07/2079]',-14.457,25.397,9.768,8.987,-5.470,8.596,7.033,18.364,0.391,1.563,2.735,22.271,-16.020,10.159,9.768,23.053,3.907,5.079,-8.987,-16.020,-33.993,21.490,9.768,137.534
'[00:04:47.152 12/07/2079]',-13.675,27.350,13.675,5.470,-4.689,7.814,10.549,18.364,0.391,1.954,3.516,20.708,-16.801,3.907,14.457,24.615,2.735,5.861,-12.894,-27.350,-25.788,18.364,14.457,146.520
'[00:04:47.156 12/07/2079]',-6.252,22.662,11.331,9.377,-0.391,5.470,9.768,21.099,-1.563,-1.563,8.987,18.755,-21.099,1.172,17.973,26.178,3.516,3.516,-10.549,-17.192,-39.072,15.238,17.973,161.368
'[00:04:47.160 12/07/2079]',0.391,23.053,11.331,6.642,5.470,4.689,12.894,17.973,-1.954,1.563,8.205,16.801,-24.615,5.079,22.271,22.271,4.689,6.252,-10.549,-13.675,-38.681,11.331,22.271,161.758
'[00:04:47.164 12/07/2079]',-5.079,23.834,11.331,7.814,0.391,2.735,14.457,19.927,-2.735,3.126,0.781,23.834,-25.006,8.596,10.940,28.523,2.735,7.814,-10.549,-21.099,-27.741,16.020,10.940,145.739
'[00:04:47.168 12/07/2079]',-4.689,22.662,10.159,9.377,-1.563,4.298,14.847,18.755,3.907,1.954,5.861,19.536,-12.503,5.861,16.801,21.490,2.344,7.033,-9.377,-16.410,-32.430,16.801,16.801,111.746
'[00:04:47.172 12/07/2079]',-7.424,13.675,18.755,10.159,-3.907,5.470,14.066,17.973,4.298,-0.391,9.768,17.192,-7.033,3.907,15.238,18.364,5.079,7.033,-17.973,-8.205,-17.582,10.549,15.238,91.819
'[00:04:47.176 12/07/2079]',-3.907,21.099,11.331,8.987,-3.907,8.596,10.940,21.099,4.689,-4.298,5.861,23.443,-1.954,2.735,5.079,24.225,4.689,9.768,-10.549,-13.284,-19.927,11.722,5.079,108.620
'[00:04:47.180 12/07/2079]',-1.172,20.317,3.907,1.954,-5.079,7.424,8.596,12.503,0.391,-5.079,6.252,16.410,-11.331,-3.126,16.020,15.238,3.907,8.205,-3.126,-16.801,-40.635,17.192,16.020,173.480
'[00:04:47.184 12/07/2079]',-2.735,22.271,1.172,3.907,-0.391,7.033,10.159,6.642,3.907,-1.172,7.033,10.549,-13.284,0.391,16.020,16.801,9.768,8.596,-0.391,-14.457,-42.198,16.020,16.020,246.545
'[00:04:47.188 12/07/2079]',1.954,25.397,0.391,9.768,7.814,8.987,11.331,8.205,8.987,4.298,6.642,10.549,-10.940,3.907,16.410,21.099,14.457,10.940,0.391,-17.973,-35.165,15.238,16.410,292.259
'[00:04:47.191 12/07/2079]',-3.126,28.913,-1.954,12.503,9.377,6.252,12.112,7.033,12.112,8.987,3.126,5.861,-8.987,10.159,16.020,12.112,12.503,9.377,2.735,-29.304,-26.960,26.960,16.020,282.491
'[00:04:47.195 12/07/2079]',-2.735,21.099,4.689,15.238,12.503,7.424,12.894,3.516,16.410,8.987,1.954,4.689,-2.344,20.317,11.331,3.126,14.457,5.079,-3.907,-23.053,-7.814,30.476,11.331,248.498
'[00:04:47.199 12/07/2079]',-2.735,19.536,3.516,13.284,12.503,5.470,11.722,2.344,11.331,2.735,-2.344,6.252,-5.861,20.708,1.172,2.344,11.722,1.954,-2.735,-16.801,-7.814,30.476,1.172,218.022
'[00:04:47.203 12/07/2079]',-3.907,17.192,0.000,12.503,11.722,3.516,7.424,1.172,14.066,-1.563,-2.735,1.563,-2.735,24.225,-10.940,1.172,7.814,0.000,0.781,-20.708,-8.205,37.509,-10.940,224.274
'[00:04:47.207 12/07/2079]',-5.861,7.814,0.000,10.159,7.033,0.000,5.861,-1.563,13.284,-5.861,-0.781,-4.298,-1.563,15.238,-7.814,-3.126,3.126,-4.298,0.781,-16.020,-5.861,25.397,-7.814,254.359
'[00:04:47.211 12/07/2079]',-3.516,13.284,1.563,9.768,12.112,0.391,6.642,0.781,16.410,-2.735,-5.079,-1.954,-2.344,1.954,2.735,2.344,0.781,-4.298,-0.781,-13.284,-9.768,9.768,2.735,295.775
'[00:04:47.215 12/07/2079]',-3.126,18.364,-3.126,7.814,10.159,0.781,4.298,3.126,19.536,0.391,-13.284,1.563,-1.954,4.298,2.344,3.126,-5.079,-3.126,3.907,-21.490,-21.099,18.755,2.344,322.735
'[00:04:47.219 12/07/2079]',4.298,15.238,-0.391,7.424,13.675,0.781,4.689,5.861,10.940,-0.781,-11.331,3.126,-7.424,6.642,-0.391,2.344,-11.722,-4.298,1.172,-23.834,-19.145,23.053,-0.391,332.503
'[00:04:47.223 12/07/2079]',10.940,10.940,1.954,3.907,16.801,1.954,2.735,5.470,6.642,-0.391,-9.768,0.781,-8.596,7.424,-4.298,3.516,-13.675,-6.252,-1.172,-16.020,-16.410,16.020,-4.298,336.801
'[00:04:47.227 12/07/2079]',12.112,3.126,3.126,7.033,16.410,-0.391,1.563,8.205,6.252,-2.344,-9.377,6.252,-6.252,21.490,-13.284,-0.781,-17.192,-4.689,-2.344,-7.814,-11.331,23.834,-13.284,357.118
'[00:04:47.230 12/07/2079]',1.954,-3.516,0.000,7.424,6.252,-5.861,-0.781,6.642,5.470,-7.814,-9.377,5.470,0.391,11.722,-13.675,-2.735,-24.615,-5.470,0.781,-11.722,0.391,21.490,-13.675,385.250
'[00:04:47.234 12/07/2079]',-0.781,-7.814,1.172,4.689,3.126,-10.159,-0.781,5.079,4.298,-4.298,-7.033,2.344,-1.954,10.549,-1.563,-11.331,-26.960,-8.205,-0.391,-7.814,11.331,8.205,-1.563,414.164
'[00:04:47.238 12/07/2079]',5.079,-7.814,6.252,1.563,7.033,-11.722,0.000,8.596,7.424,-1.954,-4.298,1.954,6.252,6.642,5.079,-13.675,-27.741,-9.377,-5.470,-1.563,8.987,1.563,5.079,411.819
'[00:04:47.242 12/07/2079]',2.735,-9.768,1.172,10.159,5.079,-11.722,-3.126,14.066,4.298,-3.907,-6.642,6.642,5.861,8.205,-0.391,-12.503,-31.648,-7.424,-0.391,-6.252,10.549,11.331,-0.391,411.819
'[00:04:47.246 12/07/2079]',-2.344,-5.861,3.907,6.252,1.172,-11.722,0.000,10.549,0.391,-2.344,-8.596,5.470,2.344,15.629,-2.735,-19.927,-35.556,-7.033,-3.126,-9.768,23.443,15.238,-2.735,381.343
'[00:04:47.250 12/07/2079]',2.344,2.344,4.689,2.735,5.470,-8.205,0.391,14.066,2.344,-4.689,-10.159,10.940,6.642,14.457,-10.940,-11.722,-33.602,-5.861,-3.907,-0.391,12.503,12.503,-10.940,370.403
'[00:04:47.254 12/07/2079]',4.298,0.391,6.252,3.907,6.642,-8.987,0.391,17.192,3.516,-7.033,-7.424,9.377,8.987,8.987,-7.033,-11.722,-33.602,-2.735,-5.470,-0.781,8.596,14.066,-7.033,357.118
'[00:04:47.258 12/07/2079]',-3.907,3.907,2.735,3.907,2.344,-12.894,1.172,15.238,5.079,-7.814,-9.377,6.642,8.596,7.424,-15.629,-6.642,-35.946,-3.516,-1.954,-8.596,17.973,10.940,-15.629,352.821
'[00:04:47.262 12/07/2079]',7.033,1.563,-3.126,0.000,8.987,-14.066,-1.563,12.112,6.642,-9.377,-9.377,5.861,8.596,3.516,-16.801,-1.172,-32.430,-8.205,3.907,-4.298,1.563,6.642,-16.801,321.563
'[00:04:47.266 12/07/2079]',5.079,5.470,-12.112,-0.781,11.722,-15.629,-2.344,3.907,9.377,-6.252,-9.768,-1.563,8.205,8.596,-7.424,-18.364,-30.867,-6.642,12.894,-14.457,4.298,15.629,-7.424,275.458
'[00:04:47.270 12/07/2079]',-2.344,-5.470,-7.814,7.033,9.768,-16.410,-3.516,1.563,6.252,-7.814,-9.377,-2.344,6.252,15.238,-25.006,-10.940,-29.304,-5.470,8.596,-15.629,26.569,23.834,-25.006,259.048
'[00:04:47.273 12/07/2079]',3.516,-2.344,-3.907,1.172,13.675,-10.940,-3.516,-0.391,5.861,-6.642,-5.470,-8.987,8.205,0.391,-18.364,-5.470,-26.960,-4.689,4.689,-9.768,7.424,14.847,-18.364,238.339
'[00:04:47.277 12/07/2079]',3.126,-6.252,-0.391,1.954,12.894,-8.987,-1.172,-3.907,7.814,-7.424,-0.781,-13.675,7.424,1.954,-9.377,-15.629,-23.053,0.000,1.172,-0.391,5.861,14.457,-9.377,212.943
'[00:04:47.281 12/07/2079]',-5.470,-2.735,2.344,3.126,7.033,-5.470,1.563,-4.689,7.814,-4.298,-4.298,-11.722,0.391,-2.344,-5.470,-3.516,-19.145,5.470,-1.563,-8.596,3.126,16.801,-5.470,144.567
'[00:04:47.285 12/07/2079]',3.516,5.079,-0.391,0.391,13.284,1.172,1.954,-8.596,13.675,0.391,-1.954,-19.145,3.516,-7.424,-10.549,7.033,-12.894,7.814,1.172,-12.112,-7.424,11.722,-10.549,71.111
'[00:04:47.289 12/07/2079]',10.159,10.549,-3.907,-2.344,18.755,6.642,0.781,-12.503,17.582,3.516,5.470,-28.132,1.954,-3.516,3.126,-2.735,-2.344,6.252,4.689,-9.377,-23.053,12.894,3.126,2.344
'[00:04:47.293 12/07/2079]',7.033,10.940,-3.126,-0.781,17.973,6.252,1.172,-11.331,15.629,3.126,1.172,-22.662,4.298,-2.344,-1.954,-1.172,1.172,7.424,3.907,-9.377,-11.331,12.112,-1.954,-50.794
'[00:04:47.297 12/07/2079]',8.205,10.549,-7.033,-1.954,16.801,5.079,-3.516,-9.768,13.284,-2.735,-3.907,-16.801,5.079,-8.987,-15.238,7.814,1.563,2.344,7.814,-13.675,-11.331,14.066,-15.238,-94.945
'[00:04:47.301 12/07/2079]',1.954,5.470,-2.735,-7.814,10.549,3.516,-3.516,-13.675,10.159,-6.252,-1.563,-24.225,3.907,-16.020,-9.768,0.391,1.563,-2.735,3.516,-5.079,-14.066,7.814,-9.768,-159.805
'[00:04:47.305 12/07/2079]',0.391,0.391,0.781,-2.735,7.814,1.563,-4.298,-6.642,2.735,-6.252,-1.172,-16.020,-4.298,-12.112,-8.987,5.470,1.172,-3.907,0.000,0.781,-10.549,1.954,-8.987,-233.651
'[00:04:47.309 12/07/2079]',2.735,3.516,-4.689,0.000,9.377,1.563,-5.861,-3.907,5.079,-7.814,-3.516,-11.331,-3.907,-12.894,-7.814,7.814,-1.954,-3.516,5.470,-8.596,-8.987,3.126,-7.814,-306.325
'[00:04:47.313 12/07/2079]',1.563,4.689,-9.377,1.172,8.987,1.172,-5.861,-6.252,11.331,-6.252,-3.907,-9.768,-1.172,-6.642,-5.079,4.298,-2.735,-4.298,10.159,-10.159,-15.238,11.331,-5.079,-351.648
'[00:04:47.316 12/07/2079]',0.000,6.252,-8.987,2.735,4.298,0.000,-3.516,-0.391,11.331,-8.205,-5.470,0.000,-0.781,-2.735,-2.735,4.298,-5.861,-2.344,9.768,-2.735,-17.192,5.861,-2.735,-384.469
'[00:04:47.320 12/07/2079]',3.516,4.298,-7.814,1.563,6.252,-2.735,-5.470,3.907,7.424,-12.503,-5.861,5.079,1.172,-10.549,-2.735,5.861,-8.987,-1.172,8.596,-4.298,-16.801,6.642,-2.735,-415.336
'[00:04:47.324 12/07/2079]',1.172,6.252,1.954,-4.689,3.126,-0.391,-1.563,3.126,6.642,-12.894,-0.781,6.252,3.907,-7.033,-5.470,8.205,-11.722,0.000,-1.172,-6.252,-11.722,8.205,-5.470,-443.077
'[00:04:47.328 12/07/2079]',0.000,3.907,7.424,-6.642,0.000,0.391,-3.907,7.424,0.000,-11.722,0.781,10.549,-1.563,1.563,-4.298,4.298,-13.284,-0.781,-6.642,4.298,-19.536,11.331,-4.298,-467.692
'[00:04:47.332 12/07/2079]',-1.563,5.470,3.126,-6.642,-4.689,-1.172,-4.689,10.549,-4.298,-11.331,3.516,15.238,-3.126,5.079,0.000,0.391,-17.192,0.391,-2.344,4.298,-20.317,12.503,0.000,-479.805
'[00:04:47.336 12/07/2079]',1.563,1.954,3.907,-2.344,-1.563,0.391,-4.298,11.331,0.391,-7.814,4.689,15.629,4.298,13.284,-0.781,-4.298,-18.755,1.172,-3.126,0.391,-3.907,17.973,-0.781,-477.460
'[00:04:47.340 12/07/2079]',9.768,-2.344,5.470,-3.907,-1.563,-0.391,-4.689,15.238,-0.391,-6.252,7.033,15.238,6.642,25.006,-13.284,-3.907,-20.317,-0.391,-4.689,10.159,-7.033,19.927,-13.284,-464.957
'[00:04:47.344 12/07/2079]',12.894,-2.344,2.344,-0.391,-4.298,0.391,-5.079,22.271,-1.172,-6.642,3.516,20.708,8.205,8.596,0.391,-3.126,-23.053,0.781,-1.563,16.801,-8.205,-0.391,0.391,-447.375
'[00:04:47.348 12/07/2079]',6.252,4.689,8.987,-5.861,-5.470,0.781,-0.391,19.536,0.000,-3.516,-3.516,23.053,11.722,8.205,0.000,-5.079,-25.006,4.689,-8.205,4.689,6.642,2.344,0.000,-434.090
'[00:04:47.352 12/07/2079]',6.252,12.112,9.768,-16.020,-9.377,3.126,1.172,16.410,-2.344,-1.954,0.391,17.973,14.066,10.549,-3.516,-8.205,-25.788,5.079,-8.987,0.391,7.424,-2.735,-3.516,-426.276
'[00:04:47.355 12/07/2079]',6.642,10.940,7.033,-7.814,-7.814,3.126,0.391,21.099,-3.907,-1.954,2.344,21.880,12.503,5.079,4.689,-5.079,-26.178,6.252,-6.252,8.596,2.735,-14.457,4.689,-415.726
'[00:04:47.359 12/07/2079]',3.516,12.112,5.470,-5.470,-8.205,0.781,1.172,21.490,-3.516,-1.954,-0.391,26.178,14.847,8.987,5.079,-10.159,-27.350,10.549,-4.689,3.516,11.722,-8.987,5.079,-396.581
'[00:04:47.363 12/07/2079]',6.252,11.722,5.861,-4.298,-4.298,0.391,2.735,21.490,-6.642,-3.126,-0.391,30.085,11.722,18.364,-3.516,-7.814,-28.523,10.549,-5.079,-1.172,19.145,0.391,-3.516,-365.714
'[00:04:47.367 12/07/2079]',7.033,8.205,3.126,-1.172,-7.814,-0.391,1.172,23.834,-7.033,-1.954,-1.954,33.211,7.424,10.940,7.424,-5.470,-26.960,7.424,-2.344,8.596,-1.172,-3.516,7.424,-337.973
'[00:04:47.371 12/07/2079]',1.172,0.391,5.079,-0.391,-12.112,-1.954,0.000,23.053,-10.940,-4.689,0.391,29.304,2.735,7.033,3.516,-0.781,-24.225,5.861,-4.298,13.675,-4.689,-1.563,3.516,-309.451
'[00:04:47.375 12/07/2079]',-1.563,-0.781,5.079,-5.470,-16.020,-2.344,0.391,16.410,-12.112,-3.126,1.172,19.927,1.954,0.781,-5.079,6.252,-23.443,4.298,-4.298,7.033,-6.642,-1.172,-5.079,-292.650
'[00:04:47.379 12/07/2079]',-0.391,5.079,2.735,-11.722,-14.847,-0.391,2.735,8.987,-9.377,0.391,0.391,13.284,1.172,-0.391,-1.563,5.470,-17.973,3.907,-1.954,2.344,-16.801,0.000,-1.563,-274.676
'[00:04:47.383 12/07/2079]',-2.735,13.675,-3.126,-11.331,-14.457,1.563,1.954,6.642,-7.814,2.735,1.172,12.503,-0.391,1.954,-0.781,7.033,-10.549,7.033,3.907,3.907,-21.880,-3.126,-0.781,-260.611
'[00:04:47.387 12/07/2079]',0.000,9.768,-0.781,-5.470,-9.377,1.172,1.954,8.205,-3.516,3.516,2.735,12.112,10.159,1.563,-4.298,7.814,-5.470,12.503,1.563,-1.563,-2.344,-3.126,-4.298,-244.200
'[00:04:47.391 12/07/2079]',4.689,12.503,0.000,-10.159,-7.033,4.689,4.298,3.516,-1.172,6.642,7.424,7.424,11.331,9.768,0.391,-2.735,-2.344,16.410,0.781,-7.033,-2.344,6.642,0.391,-222.320
'[00:04:47.395 12/07/2079]',6.642,2.735,0.391,-6.252,-7.814,7.424,0.391,3.126,-1.954,5.470,7.424,8.987,9.768,12.503,0.391,-3.126,0.000,17.192,0.391,10.940,-13.284,7.424,0.391,-180.904
'[00:04:47.398 12/07/2079]',6.252,-5.861,-2.344,-1.954,-9.768,3.907,-1.172,1.172,-7.033,0.391,5.861,6.252,1.954,-1.563,-0.781,5.470,-2.735,18.364,3.126,10.549,-15.629,4.298,-0.781,-136.361
'[00:04:47.402 12/07/2079]',6.642,-0.781,-0.781,-7.814,-7.033,7.033,-0.781,-1.172,-4.298,1.954,5.861,0.391,3.126,-12.112,1.563,10.549,-1.954,17.973,1.563,3.126,-22.271,3.907,1.563,-89.866
'[00:04:47.406 12/07/2079]',17.192,-0.391,-1.954,-5.861,0.781,7.424,-2.735,1.563,-2.344,3.126,6.252,-2.735,-0.391,-12.894,0.781,16.410,3.126,11.722,2.735,11.722,-35.946,-1.172,0.781,-62.906
'[00:04:47.410 12/07/2079]',14.457,-0.781,-3.907,-2.344,0.781,5.470,-2.344,2.735,-0.391,0.000,6.642,1.954,0.781,-14.457,5.861,15.238,6.252,11.722,4.689,11.722,-29.695,-7.814,5.861,-47.668
'[00:04:47.414 12/07/2079]',0.391,-0.781,-0.781,-1.954,-4.689,2.344,-1.954,0.391,3.516,0.000,-3.126,3.126,5.470,-14.457,-1.563,13.284,8.205,8.205,1.563,-2.735,-10.159,0.391,-1.563,-47.277
'[00:04:47.418 12/07/2079]',6.252,1.172,-1.172,-9.377,0.781,6.252,-1.954,-8.987,0.391,0.391,-4.689,-0.781,-1.563,-6.252,-1.172,3.516,12.112,1.954,1.954,-3.126,-14.457,5.079,-1.172,-57.827
'[00:04:47.422 12/07/2079]',6.252,0.781,0.000,-7.814,2.344,5.861,-1.563,-7.424,-1.172,-2.735,-1.563,0.391,-2.344,-11.331,0.781,5.861,15.238,-0.391,0.781,1.563,-12.503,-10.549,0.781,-74.628
'[00:04:47.426 12/07/2079]',0.391,1.563,3.516,-10.159,-3.126,5.861,-1.172,-6.642,-3.126,-5.079,-3.516,5.861,-5.470,-11.331,1.172,7.814,10.940,1.563,-2.735,-3.907,-8.596,-10.549,1.172,-88.303
